ETC,DEPARTAMENTO,MUNICIPIO,AÑO,CÓDIGO_MUNICIPIO,CÓDIGO_DEPARTAMENTO,CÓDIGO_ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
Bolívar (ETC),Bolívar,San Estanislao,2011,13647,13,3767,4029,85.58,85.6,69.6,89.5,70.8,44.9,90.6,76.8,100.5,88.4,75.6,22.22,1.92,3.27,1.18,2.52,2.48,97.89,0.0,98.77,97.48,96.27,0.19,0.06,0.0,1.24,5.39,0.0,2.3,10.22692751246052,5.8
Bolívar (ETC),Bolívar,San Fernando,2011,13650,13,3767,3593,79.82,79.8,56.9,75.2,40.0,15.2,92.1,126.6,116.7,76.7,42.3,12.5,1.95,0.78,1.83,2.74,1.99,98.05,0.0,98.17,97.26,98.01,0.0,0.0,0.0,0.0,2.46,5.003656534643397,1.37,2.03,0.0
Bolívar (ETC),Bolívar,San Jacinto,2011,13654,13,3767,5241,103.66,103.7,75.3,108.8,80.2,41.6,131.9,108.7,173.6,117.3,79.4,50.0,2.65,2.28,1.81,3.93,2.44,97.09,0.0,98.19,96.02,95.29,0.26,0.0,0.05,2.27,2.75,0.0,1.66,4.78,2.92
Bolívar (ETC),Bolívar,San Jacinto del Cauca,2011,13655,13,3767,3435,94.64,94.6,47.3,89.1,64.7,20.5,118.8,105.4,129.0,124.3,86.1,11.11,0.57,1.1743192148999775,0.7,0.57,0.38,99.24,1.92,99.3,99.43,99.25,0.19,0.0,0.0,0.38,0.27,0.0,0.43,0.16,0.0
Bolívar (ETC),Bolívar,San Juan Nepomuceno,2011,13657,13,3767,7911,103.67,103.7,65.8,100.0,76.5,41.9,129.1,136.4,149.7,120.8,93.1,35.14,1.64,0.37,2.87,0.51,0.32,98.31,0.0,97.03,99.49,99.68,0.05,0.09,0.0,0.0,1.7,0.0,1.16,3.25,0.74
Bolívar (ETC),Bolívar,San Martín de Loba,2011,13667,13,3767,4556,96.88,96.9,59.3,95.5,62.1,31.6,117.1,168.8,134.4,106.9,68.0,21.95,1.61,0.31,1.72,2.37,0.24,97.34,0.0,97.32,95.93,98.8,1.05,0.96,1.69,0.96,1.33,0.78,1.52,1.56,0.24
Bolívar (ETC),Bolívar,San Pablo,2011,13670,13,3767,8098,75.4,75.4,43.7,78.1,49.1,18.4,89.8,108.6,105.2,83.7,48.8,25.86,1.74,1.06,1.46,2.66,1.29,98.04,0.26,98.38,97.12,98.06,0.22,0.16,0.21,0.65,0.54,3.56,0.19,0.11,0.0
Bolívar (ETC),Bolívar,Santa Catalina,2011,13673,13,3767,3389,90.53,90.5,54.4,86.3,76.1,41.1,112.2,91.8,111.5,131.0,87.2,61.54,1.12,0.37,0.67,1.63,1.93,98.33,0.0,99.33,98.37,93.09,0.55,0.0,0.0,4.97,3.16,1.48,2.0,4.81,3.87
Bolívar (ETC),Bolívar,Santa Rosa,2011,13683,13,3767,5628,66.38,66.4,42.5,66.8,51.1,22.4,78.7,73.8,86.6,80.1,56.9,14.29,0.22,1.3741982840014977,0.46,-0.4271876546558424,-0.3565092002471282,99.61,0.0,99.29,100.0,99.5,0.17,0.25,0.0,0.5,1.78,1.41,0.81,3.73,0.25
Bolívar (ETC),Bolívar,Santa Rosa del Sur,2011,13688,13,3767,11785,71.07,71.1,49.8,78.6,39.0,17.7,77.8,82.2,106.9,58.3,38.1,7.96,5.43,2.36,6.07,5.29,4.3,94.39,0.0,93.93,94.71,92.62,0.17,0.0,0.0,3.07,1.61,0.0,1.29,3.36,0.41
Bolívar (ETC),Bolívar,Simití,2011,13744,13,3767,5787,72.73,72.7,54.2,76.4,41.5,21.5,79.0,86.0,103.8,61.4,39.4,10.67,4.32,1.15,4.17,6.72,1.66,90.88,3.21,93.37,85.07,83.11,4.8,2.45,8.21,8.96247723300337,0.95,0.92,1.0,1.03,0.33
Bolívar (ETC),Bolívar,Soplaviento,2011,13760,13,3767,1956,82.77,82.8,49.7,86.2,63.9,44.7,91.6,74.2,100.5,86.8,88.1,0.0,3.48,1.74,5.16,2.86,0.4,96.52,0.0,94.84,97.14,99.6,0.0,0.0,0.0,0.0,0.06,0.0,0.13,0.0,0.0
